encoder_a,encoder_b,metric,value
dinov2_small,dinov2_base,procrustes_m5,0.7497555017471313
dinov2_small,dinov2_large,procrustes_m5,0.6917077898979187
dinov2_small,clip_l_vision,procrustes_m5,0.6327412128448486
dinov2_small,siglip_base_vision,procrustes_m5,0.6644936800003052
dinov2_small,clip_l_text,procrustes_m5,0.28066742420196533
dinov2_small,siglip_base_text,procrustes_m5,0.2705250382423401
dinov2_small,mpnet,procrustes_m5,0.2790214419364929
dinov2_small,sparsh_dino_base,procrustes_m5,0.30762332677841187
dinov2_small,sparsh_ijepa_base,procrustes_m5,0.318229079246521
dinov2_small,anytouch,procrustes_m5,0.43186384439468384
dinov2_small,tvl_vitb,procrustes_m5,0.4625183939933777
dinov2_base,dinov2_large,procrustes_m5,0.7707536220550537
dinov2_base,clip_l_vision,procrustes_m5,0.6504898071289062
dinov2_base,siglip_base_vision,procrustes_m5,0.6722058057785034
dinov2_base,clip_l_text,procrustes_m5,0.2754983901977539
dinov2_base,siglip_base_text,procrustes_m5,0.2685948610305786
dinov2_base,mpnet,procrustes_m5,0.26893019676208496
dinov2_base,sparsh_dino_base,procrustes_m5,0.2928636074066162
dinov2_base,sparsh_ijepa_base,procrustes_m5,0.3104998469352722
dinov2_base,anytouch,procrustes_m5,0.439693808555603
dinov2_base,tvl_vitb,procrustes_m5,0.467290461063385
dinov2_large,clip_l_vision,procrustes_m5,0.6458680629730225
dinov2_large,siglip_base_vision,procrustes_m5,0.6612528562545776
dinov2_large,clip_l_text,procrustes_m5,0.26882970333099365
dinov2_large,siglip_base_text,procrustes_m5,0.2634371519088745
dinov2_large,mpnet,procrustes_m5,0.2588580846786499
dinov2_large,sparsh_dino_base,procrustes_m5,0.2906372547149658
dinov2_large,sparsh_ijepa_base,procrustes_m5,0.30910319089889526
dinov2_large,anytouch,procrustes_m5,0.44755351543426514
dinov2_large,tvl_vitb,procrustes_m5,0.4635584354400635
clip_l_vision,siglip_base_vision,procrustes_m5,0.6872750520706177
clip_l_vision,clip_l_text,procrustes_m5,0.27997660636901855
clip_l_vision,siglip_base_text,procrustes_m5,0.2698826789855957
clip_l_vision,mpnet,procrustes_m5,0.2796308398246765
clip_l_vision,sparsh_dino_base,procrustes_m5,0.34367501735687256
clip_l_vision,sparsh_ijepa_base,procrustes_m5,0.3498275876045227
clip_l_vision,anytouch,procrustes_m5,0.4370816946029663
clip_l_vision,tvl_vitb,procrustes_m5,0.45318758487701416
siglip_base_vision,clip_l_text,procrustes_m5,0.28879302740097046
siglip_base_vision,siglip_base_text,procrustes_m5,0.2786347270011902
siglip_base_vision,mpnet,procrustes_m5,0.2889065146446228
siglip_base_vision,sparsh_dino_base,procrustes_m5,0.32667016983032227
siglip_base_vision,sparsh_ijepa_base,procrustes_m5,0.33098697662353516
siglip_base_vision,anytouch,procrustes_m5,0.43991297483444214
siglip_base_vision,tvl_vitb,procrustes_m5,0.46409791707992554
clip_l_text,siglip_base_text,procrustes_m5,0.771720290184021
clip_l_text,mpnet,procrustes_m5,0.8005536794662476
clip_l_text,sparsh_dino_base,procrustes_m5,0.21987450122833252
clip_l_text,sparsh_ijepa_base,procrustes_m5,0.21017348766326904
clip_l_text,anytouch,procrustes_m5,0.23627376556396484
clip_l_text,tvl_vitb,procrustes_m5,0.5179604291915894
siglip_base_text,mpnet,procrustes_m5,0.7628147006034851
siglip_base_text,sparsh_dino_base,procrustes_m5,0.2036571502685547
siglip_base_text,sparsh_ijepa_base,procrustes_m5,0.196153461933136
siglip_base_text,anytouch,procrustes_m5,0.2254158854484558
siglip_base_text,tvl_vitb,procrustes_m5,0.5168232917785645
mpnet,sparsh_dino_base,procrustes_m5,0.23310476541519165
mpnet,sparsh_ijepa_base,procrustes_m5,0.21905410289764404
mpnet,anytouch,procrustes_m5,0.23086321353912354
mpnet,tvl_vitb,procrustes_m5,0.5086528062820435
sparsh_dino_base,sparsh_ijepa_base,procrustes_m5,0.805550754070282
sparsh_dino_base,anytouch,procrustes_m5,0.4607986807823181
sparsh_dino_base,tvl_vitb,procrustes_m5,0.23643893003463745
sparsh_ijepa_base,anytouch,procrustes_m5,0.469022274017334
sparsh_ijepa_base,tvl_vitb,procrustes_m5,0.2523806691169739
anytouch,tvl_vitb,procrustes_m5,0.35720670223236084
