encoder_a,encoder_b,pair_type,quartile,layer_a,layer_b,metric,value,n_samples,k
sparsh_dino_base,dinov2_small,T-V,1,3,3,mutual_knn,0.3941749930381775,43502,10
sparsh_dino_base,dinov2_small,T-V,1,3,3,null_knn_z,15683.795181683725,43502,10
sparsh_dino_base,dinov2_small,T-V,2,6,6,mutual_knn,0.4208289384841919,43502,10
sparsh_dino_base,dinov2_small,T-V,2,6,6,null_knn_z,16758.36586200346,43502,10
sparsh_dino_base,dinov2_small,T-V,3,9,9,mutual_knn,0.43296167254447937,43502,10
sparsh_dino_base,dinov2_small,T-V,3,9,9,null_knn_z,17640.401053668935,43502,10
sparsh_dino_base,dinov2_small,T-V,4,12,12,mutual_knn,0.42824697494506836,43502,10
sparsh_dino_base,dinov2_small,T-V,4,12,12,null_knn_z,15891.952556720065,43502,10
sparsh_dino_base,dinov2_base,T-V,1,3,3,mutual_knn,0.39162108302116394,43502,10
sparsh_dino_base,dinov2_base,T-V,1,3,3,null_knn_z,16558.154932801623,43502,10
sparsh_dino_base,dinov2_base,T-V,2,6,6,mutual_knn,0.42525172233581543,43502,10
sparsh_dino_base,dinov2_base,T-V,2,6,6,null_knn_z,17074.065501650883,43502,10
sparsh_dino_base,dinov2_base,T-V,3,9,9,mutual_knn,0.4239092171192169,43502,10
sparsh_dino_base,dinov2_base,T-V,3,9,9,null_knn_z,15961.398350335836,43502,10
sparsh_dino_base,dinov2_base,T-V,4,12,12,mutual_knn,0.42547011375427246,43502,10
sparsh_dino_base,dinov2_base,T-V,4,12,12,null_knn_z,14328.91441720781,43502,10
sparsh_dino_base,dinov2_large,T-V,1,3,6,mutual_knn,0.4006873071193695,43502,10
sparsh_dino_base,dinov2_large,T-V,1,3,6,null_knn_z,14907.59534614162,43502,10
sparsh_dino_base,dinov2_large,T-V,2,6,12,mutual_knn,0.42135077714920044,43502,10
sparsh_dino_base,dinov2_large,T-V,2,6,12,null_knn_z,16410.4471764488,43502,10
sparsh_dino_base,dinov2_large,T-V,3,9,18,mutual_knn,0.4389660358428955,43502,10
sparsh_dino_base,dinov2_large,T-V,3,9,18,null_knn_z,14550.302174283646,43502,10
sparsh_dino_base,dinov2_large,T-V,4,12,24,mutual_knn,0.4130017161369324,43502,10
sparsh_dino_base,dinov2_large,T-V,4,12,24,null_knn_z,14246.600251608479,43502,10
