encoder_a,encoder_b,pair_type,quartile,layer_a,layer_b,metric,value,n_samples,k
anytouch,sparsh_dino_base,T-T,1,6,3,mutual_knn,0.4609627425670624,43502,10
anytouch,sparsh_dino_base,T-T,1,6,3,null_knn_z,17281.018197036326,43502,10
anytouch,sparsh_dino_base,T-T,2,12,6,mutual_knn,0.4623396396636963,43502,10
anytouch,sparsh_dino_base,T-T,2,12,6,null_knn_z,17259.430664236854,43502,10
anytouch,sparsh_dino_base,T-T,3,18,9,mutual_knn,0.46644747257232666,43502,10
anytouch,sparsh_dino_base,T-T,3,18,9,null_knn_z,16569.15776289225,43502,10
anytouch,sparsh_dino_base,T-T,4,24,12,mutual_knn,0.4701117277145386,43502,10
anytouch,sparsh_dino_base,T-T,4,24,12,null_knn_z,17667.525288353936,43502,10
anytouch,sparsh_ijepa_base,T-T,1,6,3,mutual_knn,0.41197189688682556,43502,10
anytouch,sparsh_ijepa_base,T-T,1,6,3,null_knn_z,14939.817551522496,43502,10
anytouch,sparsh_ijepa_base,T-T,2,12,6,mutual_knn,0.42972737550735474,43502,10
anytouch,sparsh_ijepa_base,T-T,2,12,6,null_knn_z,15136.765908501073,43502,10
anytouch,sparsh_ijepa_base,T-T,3,18,9,mutual_knn,0.4321226477622986,43502,10
anytouch,sparsh_ijepa_base,T-T,3,18,9,null_knn_z,14928.263604568727,43502,10
anytouch,sparsh_ijepa_base,T-T,4,24,12,mutual_knn,0.4264976382255554,43502,10
anytouch,sparsh_ijepa_base,T-T,4,24,12,null_knn_z,14481.97097145582,43502,10
anytouch,dinov2_small,T-V,1,6,3,mutual_knn,0.37153923511505127,43502,10
anytouch,dinov2_small,T-V,1,6,3,null_knn_z,13852.639708547395,43502,10
anytouch,dinov2_small,T-V,2,12,6,mutual_knn,0.4105696678161621,43502,10
anytouch,dinov2_small,T-V,2,12,6,null_knn_z,15749.310087973514,43502,10
anytouch,dinov2_small,T-V,3,18,9,mutual_knn,0.4144383668899536,43502,10
anytouch,dinov2_small,T-V,3,18,9,null_knn_z,15707.570669897554,43502,10
anytouch,dinov2_small,T-V,4,24,12,mutual_knn,0.4057307541370392,43502,10
anytouch,dinov2_small,T-V,4,24,12,null_knn_z,14341.065546438977,43502,10
anytouch,dinov2_base,T-V,1,6,3,mutual_knn,0.36918532848358154,43502,10
anytouch,dinov2_base,T-V,1,6,3,null_knn_z,15804.635761928892,43502,10
anytouch,dinov2_base,T-V,2,12,6,mutual_knn,0.4159831702709198,43502,10
anytouch,dinov2_base,T-V,2,12,6,null_knn_z,16472.400715618704,43502,10
anytouch,dinov2_base,T-V,3,18,9,mutual_knn,0.4037032723426819,43502,10
anytouch,dinov2_base,T-V,3,18,9,null_knn_z,14671.243554158651,43502,10
anytouch,dinov2_base,T-V,4,24,12,mutual_knn,0.40324583649635315,43502,10
anytouch,dinov2_base,T-V,4,24,12,null_knn_z,15677.076480215697,43502,10
anytouch,dinov2_large,T-V,1,6,6,mutual_knn,0.3773481249809265,43502,10
anytouch,dinov2_large,T-V,1,6,6,null_knn_z,13644.072449693489,43502,10
anytouch,dinov2_large,T-V,2,12,12,mutual_knn,0.41225919127464294,43502,10
anytouch,dinov2_large,T-V,2,12,12,null_knn_z,16231.48447291067,43502,10
anytouch,dinov2_large,T-V,3,18,18,mutual_knn,0.420166939496994,43502,10
anytouch,dinov2_large,T-V,3,18,18,null_knn_z,16137.593439405202,43502,10
anytouch,dinov2_large,T-V,4,24,24,mutual_knn,0.39160725474357605,43502,10
anytouch,dinov2_large,T-V,4,24,24,null_knn_z,14499.304559876053,43502,10
anytouch,clip_l_vision,T-V,1,6,6,mutual_knn,0.3812997341156006,43502,10
anytouch,clip_l_vision,T-V,1,6,6,null_knn_z,15103.468672860155,43502,10
anytouch,clip_l_vision,T-V,2,12,12,mutual_knn,0.4263137876987457,43502,10
anytouch,clip_l_vision,T-V,2,12,12,null_knn_z,15303.468298066478,43502,10
anytouch,clip_l_vision,T-V,3,18,18,mutual_knn,0.41064321994781494,43502,10
anytouch,clip_l_vision,T-V,3,18,18,null_knn_z,15733.59231897849,43502,10
anytouch,clip_l_vision,T-V,4,24,24,mutual_knn,0.38195717334747314,43502,10
anytouch,clip_l_vision,T-V,4,24,24,null_knn_z,13177.427837726524,43502,10
anytouch,siglip_base_vision,T-V,1,6,3,mutual_knn,0.3886373043060303,43502,10
anytouch,siglip_base_vision,T-V,1,6,3,null_knn_z,14426.495548926285,43502,10
anytouch,siglip_base_vision,T-V,2,12,6,mutual_knn,0.41684749722480774,43502,10
anytouch,siglip_base_vision,T-V,2,12,6,null_knn_z,15383.309317487832,43502,10
anytouch,siglip_base_vision,T-V,3,18,9,mutual_knn,0.4198910892009735,43502,10
anytouch,siglip_base_vision,T-V,3,18,9,null_knn_z,15303.558075164983,43502,10
