fraction,n_samples,vision_encoder,touch_encoder,metric,value
0.1,4350,clip_l_vision,sparsh_dino_base,mutual_knn,0.038896553218364716
0.1,4350,clip_l_vision,sparsh_dino_base,debiased_cka,0.05913113723513705
0.3,13051,clip_l_vision,sparsh_dino_base,mutual_knn,0.3228641152381897
0.3,13051,clip_l_vision,sparsh_dino_base,debiased_cka,0.5953923746844344
0.5,21751,clip_l_vision,sparsh_dino_base,mutual_knn,0.38916367292404175
0.5,21751,clip_l_vision,sparsh_dino_base,debiased_cka,0.5116110673808462
1.0,43502,clip_l_vision,sparsh_dino_base,mutual_knn,0.39456114172935486
1.0,43502,clip_l_vision,sparsh_dino_base,debiased_cka,0.32356221856314427
0.1,4350,siglip_base_vision,sparsh_dino_base,mutual_knn,0.042114946991205215
0.1,4350,siglip_base_vision,sparsh_dino_base,debiased_cka,0.0657035987942378
0.3,13051,siglip_base_vision,sparsh_dino_base,mutual_knn,0.32999005913734436
0.3,13051,siglip_base_vision,sparsh_dino_base,debiased_cka,0.5456455237414785
0.5,21751,siglip_base_vision,sparsh_dino_base,mutual_knn,0.4003034234046936
0.5,21751,siglip_base_vision,sparsh_dino_base,debiased_cka,0.4631010402239066
1.0,43502,siglip_base_vision,sparsh_dino_base,mutual_knn,0.4179301857948303
1.0,43502,siglip_base_vision,sparsh_dino_base,debiased_cka,0.29155267236728427
0.1,4350,clip_l_vision,sparsh_ijepa_base,mutual_knn,0.02960919961333275
0.1,4350,clip_l_vision,sparsh_ijepa_base,debiased_cka,0.07606722316322395
0.3,13051,clip_l_vision,sparsh_ijepa_base,mutual_knn,0.27023983001708984
0.3,13051,clip_l_vision,sparsh_ijepa_base,debiased_cka,0.609530488665043
0.5,21751,clip_l_vision,sparsh_ijepa_base,mutual_knn,0.32751598954200745
0.5,21751,clip_l_vision,sparsh_ijepa_base,debiased_cka,0.49970345061180865
1.0,43502,clip_l_vision,sparsh_ijepa_base,mutual_knn,0.35000690817832947
1.0,43502,clip_l_vision,sparsh_ijepa_base,debiased_cka,0.2897135320064419
0.1,4350,siglip_base_vision,sparsh_ijepa_base,mutual_knn,0.030942529439926147
0.1,4350,siglip_base_vision,sparsh_ijepa_base,debiased_cka,0.08328022426617804
0.3,13051,siglip_base_vision,sparsh_ijepa_base,mutual_knn,0.2756953835487366
0.3,13051,siglip_base_vision,sparsh_ijepa_base,debiased_cka,0.5568396071843343
0.5,21751,siglip_base_vision,sparsh_ijepa_base,mutual_knn,0.3360029458999634
0.5,21751,siglip_base_vision,sparsh_ijepa_base,debiased_cka,0.4513816064497995
1.0,43502,siglip_base_vision,sparsh_ijepa_base,mutual_knn,0.3699232339859009
1.0,43502,siglip_base_vision,sparsh_ijepa_base,debiased_cka,0.25193850798321454
0.1,4350,dinov2_small,anytouch,mutual_knn,0.03547126427292824
0.1,4350,dinov2_small,anytouch,debiased_cka,0.10958041093886356
0.3,13051,dinov2_small,anytouch,mutual_knn,0.33946824073791504
0.3,13051,dinov2_small,anytouch,debiased_cka,0.5865333812757306
0.5,21751,dinov2_small,anytouch,mutual_knn,0.37370237708091736
0.5,21751,dinov2_small,anytouch,debiased_cka,0.4918541369728572
1.0,43502,dinov2_small,anytouch,mutual_knn,0.3933979868888855
1.0,43502,dinov2_small,anytouch,debiased_cka,0.37337512763450814
0.1,4350,dinov2_base,anytouch,mutual_knn,0.03531034663319588
0.1,4350,dinov2_base,anytouch,debiased_cka,0.10972599695090836
0.3,13051,dinov2_base,anytouch,mutual_knn,0.33768293261528015
0.3,13051,dinov2_base,anytouch,debiased_cka,0.5652989239309097
0.5,21751,dinov2_base,anytouch,mutual_knn,0.3702312409877777
0.5,21751,dinov2_base,anytouch,debiased_cka,0.4726120856518027
1.0,43502,dinov2_base,anytouch,mutual_knn,0.3888143002986908
1.0,43502,dinov2_base,anytouch,debiased_cka,0.35841039152532267
0.1,4350,dinov2_large,anytouch,mutual_knn,0.03579310327768326
0.1,4350,dinov2_large,anytouch,debiased_cka,0.1100700744394265
0.3,13051,dinov2_large,anytouch,mutual_knn,0.33751437067985535
0.3,13051,dinov2_large,anytouch,debiased_cka,0.5834156029567724
0.5,21751,dinov2_large,anytouch,mutual_knn,0.3666452169418335
0.5,21751,dinov2_large,anytouch,debiased_cka,0.4923957023293582
1.0,43502,dinov2_large,anytouch,mutual_knn,0.38112732768058777
1.0,43502,dinov2_large,anytouch,debiased_cka,0.38340774125174654
0.1,4350,clip_l_vision,anytouch,mutual_knn,0.03560919687151909
0.1,4350,clip_l_vision,anytouch,debiased_cka,0.096959870219703
0.3,13051,clip_l_vision,anytouch,mutual_knn,0.32542335987091064
0.3,13051,clip_l_vision,anytouch,debiased_cka,0.6600426015931043
0.5,21751,clip_l_vision,anytouch,mutual_knn,0.3534274101257324
0.5,21751,clip_l_vision,anytouch,debiased_cka,0.5619262070528485
1.0,43502,clip_l_vision,anytouch,mutual_knn,0.3652384281158447
1.0,43502,clip_l_vision,anytouch,debiased_cka,0.3545129230655848
0.1,4350,siglip_base_vision,anytouch,mutual_knn,0.034712646156549454
0.1,4350,siglip_base_vision,anytouch,debiased_cka,0.09866146332539938
0.3,13051,siglip_base_vision,anytouch,mutual_knn,0.33122363686561584
0.3,13051,siglip_base_vision,anytouch,debiased_cka,0.5990033000954602
0.5,21751,siglip_base_vision,anytouch,mutual_knn,0.36244770884513855
0.5,21751,siglip_base_vision,anytouch,debiased_cka,0.5093990636650677
1.0,43502,siglip_base_vision,anytouch,mutual_knn,0.38671785593032837
1.0,43502,siglip_base_vision,anytouch,debiased_cka,0.39228774653269904
0.1,4350,dinov2_small,tvl_vitb,mutual_knn,0.0988965556025505
0.1,4350,dinov2_small,tvl_vitb,debiased_cka,0.3593057990991068
0.3,13051,dinov2_small,tvl_vitb,mutual_knn,0.3780706524848938
0.3,13051,dinov2_small,tvl_vitb,debiased_cka,0.5047339287689218
0.5,21751,dinov2_small,tvl_vitb,mutual_knn,0.3587053418159485
0.5,21751,dinov2_small,tvl_vitb,debiased_cka,0.4417013063164809
1.0,43502,dinov2_small,tvl_vitb,mutual_knn,0.34131765365600586
1.0,43502,dinov2_small,tvl_vitb,debiased_cka,0.3494080069663085
0.1,4350,dinov2_base,tvl_vitb,mutual_knn,0.10027587413787842
0.1,4350,dinov2_base,tvl_vitb,debiased_cka,0.3502899284712981
0.3,13051,dinov2_base,tvl_vitb,mutual_knn,0.37583327293395996
0.3,13051,dinov2_base,tvl_vitb,debiased_cka,0.4946603231710002
0.5,21751,dinov2_base,tvl_vitb,mutual_knn,0.3553721606731415
0.5,21751,dinov2_base,tvl_vitb,debiased_cka,0.4292567706791394
1.0,43502,dinov2_base,tvl_vitb,mutual_knn,0.3388671875
1.0,43502,dinov2_base,tvl_vitb,debiased_cka,0.3422584567732676
0.1,4350,dinov2_large,tvl_vitb,mutual_knn,0.09935632348060608
0.1,4350,dinov2_large,tvl_vitb,debiased_cka,0.34728212559777244
0.3,13051,dinov2_large,tvl_vitb,mutual_knn,0.37336599826812744
0.3,13051,dinov2_large,tvl_vitb,debiased_cka,0.4973938284342243
0.5,21751,dinov2_large,tvl_vitb,mutual_knn,0.3526734411716461
0.5,21751,dinov2_large,tvl_vitb,debiased_cka,0.4309317667053607
1.0,43502,dinov2_large,tvl_vitb,mutual_knn,0.3349800109863281
1.0,43502,dinov2_large,tvl_vitb,debiased_cka,0.33523240240722046
0.1,4350,clip_l_vision,tvl_vitb,mutual_knn,0.09413793683052063
0.1,4350,clip_l_vision,tvl_vitb,debiased_cka,0.3236362168153786
0.3,13051,clip_l_vision,tvl_vitb,mutual_knn,0.36133629083633423
0.3,13051,clip_l_vision,tvl_vitb,debiased_cka,0.48161500823817127
0.5,21751,clip_l_vision,tvl_vitb,mutual_knn,0.34155213832855225
0.5,21751,clip_l_vision,tvl_vitb,debiased_cka,0.4108069041372789
1.0,43502,clip_l_vision,tvl_vitb,mutual_knn,0.3252701163291931
1.0,43502,clip_l_vision,tvl_vitb,debiased_cka,0.3021378445725434
0.1,4350,siglip_base_vision,tvl_vitb,mutual_knn,0.09480459988117218
0.1,4350,siglip_base_vision,tvl_vitb,debiased_cka,0.33742977075560127
0.3,13051,siglip_base_vision,tvl_vitb,mutual_knn,0.36674585938453674
0.3,13051,siglip_base_vision,tvl_vitb,debiased_cka,0.48936956130806364
0.5,21751,siglip_base_vision,tvl_vitb,mutual_knn,0.3488253355026245
0.5,21751,siglip_base_vision,tvl_vitb,debiased_cka,0.42646777290685006
1.0,43502,siglip_base_vision,tvl_vitb,mutual_knn,0.3354259729385376
1.0,43502,siglip_base_vision,tvl_vitb,debiased_cka,0.3397526317299951
