pair_a,pair_b,metric,value,n_samples,k
sparsh_dino_base.mode_a,dinov2_base,mutual_knn,0.11920000612735748,500,10
sparsh_dino_base.mode_a,dinov2_base,debiased_cka,0.2127833160590811,500,10
sparsh_dino_base.mode_a,dinov2_base,null_knn_z,40.12392912767247,500,10
sparsh_dino_base.mode_b,dinov2_base,mutual_knn,0.11640000343322754,500,10
sparsh_dino_base.mode_b,dinov2_base,debiased_cka,0.21447260051232234,500,10
sparsh_dino_base.mode_b,dinov2_base,null_knn_z,44.43936840442574,500,10
sparsh_ijepa_base.mode_a,dinov2_base,mutual_knn,0.10820000618696213,500,10
sparsh_ijepa_base.mode_a,dinov2_base,debiased_cka,0.19271261722034766,500,10
sparsh_ijepa_base.mode_a,dinov2_base,null_knn_z,41.77368641948789,500,10
sparsh_ijepa_base.mode_b,dinov2_base,mutual_knn,0.09100000560283661,500,10
sparsh_ijepa_base.mode_b,dinov2_base,debiased_cka,0.15914004889673888,500,10
sparsh_ijepa_base.mode_b,dinov2_base,null_knn_z,32.91659228596316,500,10
sparsh_dino_base.mode_a,sparsh_dino_base.mode_b,mutual_knn,0.710800051689148,500,10
sparsh_dino_base.mode_a,sparsh_dino_base.mode_b,debiased_cka,0.9941885190392976,500,10
sparsh_dino_base.mode_a,sparsh_dino_base.mode_b,cos_mean,0.9978463053703308,500,10
sparsh_dino_base.mode_a,sparsh_dino_base.mode_b,cos_std,0.004380851984024048,500,10
sparsh_dino_base.mode_a,sparsh_dino_base.mode_b,cos_p10,0.9933809638023376,500,10
sparsh_dino_base.mode_a,sparsh_dino_base.mode_b,cos_p90,0.9999679327011108,500,10
sparsh_ijepa_base.mode_a,sparsh_ijepa_base.mode_b,mutual_knn,0.4264000356197357,500,10
sparsh_ijepa_base.mode_a,sparsh_ijepa_base.mode_b,debiased_cka,0.7159791909793602,500,10
sparsh_ijepa_base.mode_a,sparsh_ijepa_base.mode_b,cos_mean,0.9477779865264893,500,10
sparsh_ijepa_base.mode_a,sparsh_ijepa_base.mode_b,cos_std,0.07360599935054779,500,10
sparsh_ijepa_base.mode_a,sparsh_ijepa_base.mode_b,cos_p10,0.8501869440078735,500,10
sparsh_ijepa_base.mode_a,sparsh_ijepa_base.mode_b,cos_p90,0.9973432421684265,500,10
