encoder_a,encoder_b,metric,value
clip_l_text,clip_l_vision,mutual_knn,0.15617027878761292
clip_l_text,clip_l_vision,debiased_cka,0.2950454998743583
clip_l_text,clip_l_vision,null_knn_z,2897.7805793829707
clip_l_text,clip_l_vision,unbiased_cka,0.2950834333896637
clip_l_text,dinov2_base,mutual_knn,0.1572021245956421
clip_l_text,dinov2_base,debiased_cka,0.38322415232184986
clip_l_text,dinov2_base,null_knn_z,3531.159034803238
clip_l_text,dinov2_base,unbiased_cka,0.3832192122936249
clip_l_text,dinov2_large,mutual_knn,0.15640878677368164
clip_l_text,dinov2_large,debiased_cka,0.4243945917453945
clip_l_text,dinov2_large,null_knn_z,3109.1816957428487
clip_l_text,dinov2_large,unbiased_cka,0.42437809705734253
clip_l_text,dinov2_small,mutual_knn,0.15792284905910492
clip_l_text,dinov2_small,debiased_cka,0.3739468442471886
clip_l_text,dinov2_small,null_knn_z,2867.8042668173225
clip_l_text,dinov2_small,unbiased_cka,0.37393563985824585
clip_l_text,mpnet,mutual_knn,1.0
clip_l_text,mpnet,debiased_cka,0.500748752653033
clip_l_text,mpnet,null_knn_z,18176.2059826732
clip_l_text,mpnet,unbiased_cka,0.5008620023727417
clip_l_text,siglip_base_text,mutual_knn,1.0
clip_l_text,siglip_base_text,debiased_cka,0.5720667247039162
clip_l_text,siglip_base_text,null_knn_z,18176.2059826732
clip_l_text,siglip_base_text,unbiased_cka,0.5722790360450745
clip_l_text,siglip_base_vision,mutual_knn,0.15778802335262299
clip_l_text,siglip_base_vision,debiased_cka,0.3589972974523848
clip_l_text,siglip_base_vision,null_knn_z,2691.182119104381
clip_l_text,siglip_base_vision,unbiased_cka,0.35906416177749634
clip_l_text,sparsh_dino_base,mutual_knn,0.058104321360588074
clip_l_text,sparsh_dino_base,debiased_cka,0.08259388873112752
clip_l_text,sparsh_dino_base,null_knn_z,1172.8142480420097
clip_l_text,sparsh_dino_base,unbiased_cka,0.08211079984903336
clip_l_text,sparsh_ijepa_base,mutual_knn,0.04780669882893562
clip_l_text,sparsh_ijepa_base,debiased_cka,0.08065946179077912
clip_l_text,sparsh_ijepa_base,null_knn_z,800.8774535521624
clip_l_text,sparsh_ijepa_base,unbiased_cka,0.08060833811759949
clip_l_vision,dinov2_base,mutual_knn,0.6641086935997009
clip_l_vision,dinov2_base,debiased_cka,0.7238152362038589
clip_l_vision,dinov2_base,null_knn_z,10804.33448596669
clip_l_vision,dinov2_base,unbiased_cka,0.7238374948501587
clip_l_vision,dinov2_large,mutual_knn,0.6468422412872314
clip_l_vision,dinov2_large,debiased_cka,0.7036463218301819
clip_l_vision,dinov2_large,null_knn_z,10700.716154909298
clip_l_vision,dinov2_large,unbiased_cka,0.7036636471748352
clip_l_vision,dinov2_small,mutual_knn,0.6726018786430359
clip_l_vision,dinov2_small,debiased_cka,0.7328379209659323
clip_l_vision,dinov2_small,null_knn_z,11748.611142842035
clip_l_vision,dinov2_small,unbiased_cka,0.7328733205795288
clip_l_vision,mpnet,mutual_knn,0.15617027878761292
clip_l_vision,mpnet,debiased_cka,0.35540905850583354
clip_l_vision,mpnet,null_knn_z,2342.9429131656693
clip_l_vision,mpnet,unbiased_cka,0.35561102628707886
clip_l_vision,siglip_base_text,mutual_knn,0.15617027878761292
clip_l_vision,siglip_base_text,debiased_cka,0.37817780173857785
clip_l_vision,siglip_base_text,null_knn_z,2342.9429131656693
clip_l_vision,siglip_base_text,unbiased_cka,0.3780477046966553
clip_l_vision,siglip_base_vision,mutual_knn,0.6722130179405212
clip_l_vision,siglip_base_vision,debiased_cka,0.8406012421124264
clip_l_vision,siglip_base_vision,null_knn_z,11773.10192560715
clip_l_vision,siglip_base_vision,unbiased_cka,0.8405939936637878
clip_l_vision,sparsh_dino_base,mutual_knn,0.48868608474731445
clip_l_vision,sparsh_dino_base,debiased_cka,0.2786930051066476
clip_l_vision,sparsh_dino_base,null_knn_z,9231.466580434286
clip_l_vision,sparsh_dino_base,unbiased_cka,0.2778777480125427
clip_l_vision,sparsh_ijepa_base,mutual_knn,0.423047810792923
clip_l_vision,sparsh_ijepa_base,debiased_cka,0.21496890387658124
clip_l_vision,sparsh_ijepa_base,null_knn_z,7232.994277820894
clip_l_vision,sparsh_ijepa_base,unbiased_cka,0.2150222659111023
dinov2_base,dinov2_large,mutual_knn,0.7037488222122192
dinov2_base,dinov2_large,debiased_cka,0.8997135595808302
dinov2_base,dinov2_large,null_knn_z,10705.020887074803
dinov2_base,dinov2_large,unbiased_cka,0.8997125625610352
dinov2_base,dinov2_small,mutual_knn,0.725090742111206
dinov2_base,dinov2_small,debiased_cka,0.8778557126542584
dinov2_base,dinov2_small,null_knn_z,10681.22711344343
dinov2_base,dinov2_small,unbiased_cka,0.8778523802757263
dinov2_base,mpnet,mutual_knn,0.1572021245956421
dinov2_base,mpnet,debiased_cka,0.44334408117029905
dinov2_base,mpnet,null_knn_z,2673.785994520324
dinov2_base,mpnet,unbiased_cka,0.4434739649295807
dinov2_base,siglip_base_text,mutual_knn,0.1572021245956421
dinov2_base,siglip_base_text,debiased_cka,0.491616714301196
dinov2_base,siglip_base_text,null_knn_z,2673.785994520324
dinov2_base,siglip_base_text,unbiased_cka,0.49153056740760803
dinov2_base,siglip_base_vision,mutual_knn,0.6978533864021301
dinov2_base,siglip_base_vision,debiased_cka,0.7850063777531422
dinov2_base,siglip_base_vision,null_knn_z,11401.486847544813
dinov2_base,siglip_base_vision,unbiased_cka,0.7850056290626526
dinov2_base,sparsh_dino_base,mutual_knn,0.5079280734062195
dinov2_base,sparsh_dino_base,debiased_cka,0.22860825501752757
dinov2_base,sparsh_dino_base,null_knn_z,8003.49378388861
dinov2_base,sparsh_dino_base,unbiased_cka,0.22790567576885223
dinov2_base,sparsh_ijepa_base,mutual_knn,0.43990981578826904
dinov2_base,sparsh_ijepa_base,debiased_cka,0.19475932715165142
dinov2_base,sparsh_ijepa_base,null_knn_z,7355.142983145698
dinov2_base,sparsh_ijepa_base,unbiased_cka,0.19467169046401978
dinov2_large,dinov2_small,mutual_knn,0.6947941184043884
dinov2_large,dinov2_small,debiased_cka,0.8423601487134424
dinov2_large,dinov2_small,null_knn_z,9972.374697675761
dinov2_large,dinov2_small,unbiased_cka,0.8423569202423096
dinov2_large,mpnet,mutual_knn,0.15640878677368164
dinov2_large,mpnet,debiased_cka,0.48857178451517613
dinov2_large,mpnet,null_knn_z,2310.1369538485865
dinov2_large,mpnet,unbiased_cka,0.48868781328201294
dinov2_large,siglip_base_text,mutual_knn,0.15640878677368164
dinov2_large,siglip_base_text,debiased_cka,0.5456790670887501
dinov2_large,siglip_base_text,null_knn_z,2310.1369538485865
dinov2_large,siglip_base_text,unbiased_cka,0.5455768704414368
dinov2_large,siglip_base_vision,mutual_knn,0.6743959784507751
dinov2_large,siglip_base_vision,debiased_cka,0.7638587974379214
dinov2_large,siglip_base_vision,null_knn_z,10412.372393941663
dinov2_large,siglip_base_vision,unbiased_cka,0.7638919949531555
dinov2_large,sparsh_dino_base,mutual_knn,0.4934719204902649
dinov2_large,sparsh_dino_base,debiased_cka,0.22494124934157259
dinov2_large,sparsh_dino_base,null_knn_z,7833.991087788413
dinov2_large,sparsh_dino_base,unbiased_cka,0.22430798411369324
dinov2_large,sparsh_ijepa_base,mutual_knn,0.42782852053642273
dinov2_large,sparsh_ijepa_base,debiased_cka,0.19033004287127098
dinov2_large,sparsh_ijepa_base,null_knn_z,7057.195112952577
dinov2_large,sparsh_ijepa_base,unbiased_cka,0.19023174047470093
dinov2_small,mpnet,mutual_knn,0.15792284905910492
dinov2_small,mpnet,debiased_cka,0.4308779676045866
dinov2_small,mpnet,null_knn_z,2382.796812868243
dinov2_small,mpnet,unbiased_cka,0.43097370862960815
dinov2_small,siglip_base_text,mutual_knn,0.15792284905910492
dinov2_small,siglip_base_text,debiased_cka,0.4826506643534445
dinov2_small,siglip_base_text,null_knn_z,2382.796812868243
dinov2_small,siglip_base_text,unbiased_cka,0.4825429916381836
dinov2_small,siglip_base_vision,mutual_knn,0.7112724184989929
dinov2_small,siglip_base_vision,debiased_cka,0.797777804976697
dinov2_small,siglip_base_vision,null_knn_z,13342.595610351951
dinov2_small,siglip_base_vision,unbiased_cka,0.797785758972168
dinov2_small,sparsh_dino_base,mutual_knn,0.5167945623397827
dinov2_small,sparsh_dino_base,debiased_cka,0.2336083312018363
dinov2_small,sparsh_dino_base,null_knn_z,9247.784060179905
dinov2_small,sparsh_dino_base,unbiased_cka,0.23291854560375214
dinov2_small,sparsh_ijepa_base,mutual_knn,0.4474852383136749
dinov2_small,sparsh_ijepa_base,debiased_cka,0.19293083226721394
dinov2_small,sparsh_ijepa_base,null_knn_z,8114.482488175257
dinov2_small,sparsh_ijepa_base,unbiased_cka,0.19275492429733276
mpnet,siglip_base_text,mutual_knn,1.0
mpnet,siglip_base_text,debiased_cka,0.6637462119004895
mpnet,siglip_base_text,null_knn_z,18176.2059826732
mpnet,siglip_base_text,unbiased_cka,0.6641184687614441
mpnet,siglip_base_vision,mutual_knn,0.15778802335262299
mpnet,siglip_base_vision,debiased_cka,0.4244920443171842
mpnet,siglip_base_vision,null_knn_z,2691.182119104381
mpnet,siglip_base_vision,unbiased_cka,0.4245724678039551
mpnet,sparsh_dino_base,mutual_knn,0.058104321360588074
mpnet,sparsh_dino_base,debiased_cka,0.10012682143798306
mpnet,sparsh_dino_base,null_knn_z,1172.8142480420097
mpnet,sparsh_dino_base,unbiased_cka,0.09985671192407608
mpnet,sparsh_ijepa_base,mutual_knn,0.04780669882893562
mpnet,sparsh_ijepa_base,debiased_cka,0.09169025489655958
mpnet,sparsh_ijepa_base,null_knn_z,800.8774535521624
mpnet,sparsh_ijepa_base,unbiased_cka,0.09151896089315414
siglip_base_text,siglip_base_vision,mutual_knn,0.15778802335262299
siglip_base_text,siglip_base_vision,debiased_cka,0.4561278469695564
siglip_base_text,siglip_base_vision,null_knn_z,2691.182119104381
siglip_base_text,siglip_base_vision,unbiased_cka,0.4561154544353485
siglip_base_text,sparsh_dino_base,mutual_knn,0.058104321360588074
siglip_base_text,sparsh_dino_base,debiased_cka,0.10757528644333934
siglip_base_text,sparsh_dino_base,null_knn_z,1172.8142480420097
siglip_base_text,sparsh_dino_base,unbiased_cka,0.10723786801099777
siglip_base_text,sparsh_ijepa_base,mutual_knn,0.04780669882893562
siglip_base_text,sparsh_ijepa_base,debiased_cka,0.1081945460284752
siglip_base_text,sparsh_ijepa_base,null_knn_z,800.8774535521624
siglip_base_text,sparsh_ijepa_base,unbiased_cka,0.10799042880535126
siglip_base_vision,sparsh_dino_base,mutual_knn,0.5151975154876709
siglip_base_vision,sparsh_dino_base,debiased_cka,0.2614280161375335
siglip_base_vision,sparsh_dino_base,null_knn_z,7341.461949810239
siglip_base_vision,sparsh_dino_base,unbiased_cka,0.2606619894504547
siglip_base_vision,sparsh_ijepa_base,mutual_knn,0.44594523310661316
siglip_base_vision,sparsh_ijepa_base,debiased_cka,0.20092276140491236
siglip_base_vision,sparsh_ijepa_base,null_knn_z,6592.145295683437
siglip_base_vision,sparsh_ijepa_base,unbiased_cka,0.2008054107427597
sparsh_dino_base,sparsh_ijepa_base,mutual_knn,0.6169760227203369
sparsh_dino_base,sparsh_ijepa_base,debiased_cka,0.5404781553314185
sparsh_dino_base,sparsh_ijepa_base,null_knn_z,10898.997156328547
sparsh_dino_base,sparsh_ijepa_base,unbiased_cka,0.538556694984436
